Alert ID,Ticker,Name,Description,Time,Webhook status
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29401.25,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29401.25,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7433,""signalId"":""DEEP_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":29401.25,""stopPrice"":29481.25,""takeProfit"":29251.25,""signalId"":""E1_ENTRY""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7433,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29401.25,""signalId"":""DEEP_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29401.25,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":29401.25,""stopPrice"":29321.25,""takeProfit"":29551.25,""signalId"":""E0_ENTRY""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7433,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7433,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":7433,""stopPrice"":7353,""takeProfit"":7583,""signalId"":""E0_ENTRY""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":7433,""stopPrice"":7513,""takeProfit"":7283,""signalId"":""E1_ENTRY""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7428.25,""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:55:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7428.25,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T19:55:00Z,Webhook delivery failed — 400 Bad Request
